id_data,data_pregao
1316,2005-04-20
1317,2005-04-22
1318,2005-04-25
1319,2005-04-26
1320,2005-04-27
1321,2005-04-28
1322,2005-04-29
1323,2005-05-02
1324,2005-05-03
1325,2005-05-04
1326,2005-05-05
1327,2005-05-06
1328,2005-05-09
1329,2005-05-10
1330,2005-05-11
1331,2005-05-12
1332,2005-05-13
1333,2005-05-16
1334,2005-05-17
1335,2005-05-18
1336,2005-05-19
1337,2005-05-20
1338,2005-05-23
1339,2005-05-24
1340,2005-05-25
1341,2005-05-27
1342,2005-05-30
1343,2005-05-31
1344,2005-06-01
1345,2005-06-02
1346,2005-06-03
1347,2005-06-06
1348,2005-06-07
1349,2005-06-08
1350,2005-06-09
1351,2005-06-10
1352,2005-06-13
1353,2005-06-14
1354,2005-06-15
1355,2005-06-16
1356,2005-06-17
1357,2005-06-20
1358,2005-06-21
1359,2005-06-22
1360,2005-06-23
1361,2005-06-24
1362,2005-06-27
1363,2005-06-28
1364,2005-06-29
1365,2005-06-30
1366,2005-07-01
1367,2005-07-04
1368,2005-07-05
1369,2005-07-06
1370,2005-07-07
1371,2005-07-08
1372,2005-07-11
1373,2005-07-12
1374,2005-07-13
1375,2005-07-14
1376,2005-07-15
1377,2005-07-18
1378,2005-07-19
1379,2005-07-20
1380,2005-07-21
1381,2005-07-22
1382,2005-07-25
1383,2005-07-26
1384,2005-07-27
1385,2005-07-28
1386,2005-07-29
1387,2005-08-01
1388,2005-08-02
1389,2005-08-03
1390,2005-08-04
1391,2005-08-05
1392,2005-08-08
1393,2005-08-09
1394,2005-08-10
1395,2005-08-11
1396,2005-08-12
1397,2005-08-15
1398,2005-08-16
1399,2005-08-17
1400,2005-08-18
1401,2005-08-19
1402,2005-08-22
1403,2005-08-23
1404,2005-08-24
1405,2005-08-25
1406,2005-08-26
1407,2005-08-29
1408,2005-08-30
1409,2005-08-31
1410,2005-09-01
1411,2005-09-02
1412,2005-09-05
1413,2005-09-06
1414,2005-09-08
1415,2005-09-09
1416,2005-09-12
1417,2005-09-13
1418,2005-09-14
1419,2005-09-15
1420,2005-09-16
1421,2005-09-19
1422,2005-09-20
1423,2005-09-21
1424,2005-09-22
1425,2005-09-23
1426,2005-09-26
1427,2005-09-27
1428,2005-09-28
1429,2005-09-29
1430,2005-09-30
1431,2005-10-03
1432,2005-10-04
1433,2005-10-05
1434,2005-10-06
1435,2005-10-07
1436,2005-10-10
1437,2005-10-11
1438,2005-10-13
1439,2005-10-14
1440,2005-10-17
1441,2005-10-18
1442,2005-10-19
1443,2005-10-20
1444,2005-10-21
1445,2005-10-24
1446,2005-10-25
1447,2005-10-26
1448,2005-10-27
1449,2005-10-28
1450,2005-10-31
1451,2005-11-01
1452,2005-11-03
1453,2005-11-04
1454,2005-11-07
1455,2005-11-08
1456,2005-11-09
1457,2005-11-10
1458,2005-11-11
1459,2005-11-14
1460,2005-11-16
1461,2005-11-17
1462,2005-11-18
1463,2005-11-21
1464,2005-11-22
1465,2005-11-23
1466,2005-11-24
1467,2005-11-25
1468,2005-11-28
1469,2005-11-29
1470,2005-11-30
1471,2005-12-01
1472,2005-12-02
1473,2005-12-05
1474,2005-12-06
1475,2005-12-07
1476,2005-12-08
1477,2005-12-09
1478,2005-12-12
1479,2005-12-13
1480,2005-12-14
1481,2005-12-15
1482,2005-12-16
1483,2005-12-19
1484,2005-12-20
1485,2005-12-21
1486,2005-12-22
1487,2005-12-23
1488,2005-12-26
1489,2005-12-27
1490,2005-12-28
1491,2005-12-29
1492,2006-01-02
1493,2006-01-03
